Sites to search,Reliability,Oped?,Pay?,Notes,timestamp,score,Label,name,AdditionalData,attribute,value
+ACo-.nationalgeographic.com/+ACo-,Perennial,Y,Y,,0x00061a1532728128,1,,+AF8-include+AF8-,,original+AF8-url,nationalgeographic.com
+ACo-.nbcnews.com/+ACo-,Perennial,Y / Y,N,,0x00061a149afa1895,1,,+AF8-include+AF8-,,original+AF8-url,nbcnews.com
+ACo-.newsnationnow.com/+ACo-,Perennial,Y,N,Except for UFO coverage+ADs- only one op+AC0-ed column,,,,,,,
+ACo-.newrepublic.com/+ACo-,Perennial,N,N,,0x00061a15328a2aa5,1,,+AF8-include+AF8-,,original+AF8-url,newrepublic.com
+ACo-.news.err.ee/+ACo-,State Media Monitor,?,N,,,,,,,,
+ACo-.news.sky.com/+ACo-,Perennial,Y+ACo-,N,,0x00061a15343f2351,1,,+AF8-include+AF8-,,original+AF8-url,news.sky.com
+ACo-.newslaundry.com/+ACo-,Perennial,N,N,,0x00061a1532db0d9a,1,,+AF8-include+AF8-,,original+AF8-url,newslaundry.com
+ACo-.newyorker.com/+ACo-,Perennial,Y+ACo-,Y,,0x00061a149afa15d1,1,,+AF8-include+AF8-,,original+AF8-url,Newyorker.com
+ACo-.niemanlab.org/+ACo-,,N,N,,,,,,,,
+ACo-.nme.com/+ACo-,State Media Monitor,N,N,,0x00061a1532f174c4,1,,+AF8-include+AF8-,,original+AF8-url,+ACo-.nme.com
+ACo-.npr.org/+ACo-,Perennial,Y / Y,N,,0x00061a149afa1922,1,,+AF8-include+AF8-,,original+AF8-url,npr.org
+ACo-.nydailynews.com/+ACo-,Perennial,Y+ACo-,Y,,0x00061a1532b3c9be,1,,+AF8-include+AF8-,,original+AF8-url,+ACo-.nydailynews.com
+ACo-.nymag.com/+ACo-,Perennial,Y+ACo-,Y,,0x00061a1532a144a3,1,,+AF8-include+AF8-,,original+AF8-url,nymag.com
+ACo-.nytimes.com/+ACo-,Perennial,Y,Y,,0x00061a149afa18e5,1,,+AF8-include+AF8-,,original+AF8-url,nytimes.com
+ACo-.nzherald.co.nz/+ACo-,Perennial,Y,Y,Seems sensationalist +AC0- propose reevaluation?,0x00061a1532c57066,1,,+AF8-include+AF8-,,original+AF8-url,nzherald.co.nz
+ACo-.oko.press/+ACo-,Perennial,Y+ACo-,N,,0x00061a153304f104,1,,+AF8-include+AF8-,,original+AF8-url,OKO.press
+ACo-.pbcjamaica.org/+ACo-,State Media Monitor,N,N,,,,,,,,
+ACo-.pbs.org/+ACo-,State Media Monitor,N,N,,,,,,,,
+ACo-.people.com/+ACo-,Perennial,N,N,,0x00061a1533184d11,1,,+AF8-include+AF8-,,original+AF8-url,people.com
+ACo-.philanthropy.com/+ACo-,INN,Y+ACo-,Y,,,,,,,,
+ACo-.pmn.co.nz/+ACo-,State Media Monitor,N?,N,,,,,,,,
+ACo-.politico.com/+ACo-,Perennial,Y+ACo-,N,,0x00061a149afa1962,1,,+AF8-include+AF8-,,original+AF8-url,politico.com
